Date,Open,High,Low,Close,Adj Close,Volume,,RETURNS,Probability,PiXi,Xi-r,(Xi-r)^2,P*(Xi-r)^2,SQRT(P*(Xi-r)^2)
24-11-2022,230.25,231.399994,227.399994,228.300003,219.00975,332012,,-0.009973994,0.401606426,-0.00400562,-0.033838246,0.001145027,0.00045985,0.021444117
25-11-2022,228.800003,233.5,227.899994,231.300003,221.887665,234147,,0.013140604,0.401606426,0.005277351,-0.010723649,0.000114997,4.61834E-05,0.006795836
28-11-2022,231.300003,232.600006,228.399994,229.899994,220.544617,190921,,-0.006052784,0.401606426,-0.002430837,-0.029917037,0.000895029,0.000359449,0.018959152
29-11-2022,229.5,231.350006,226.149994,227,217.76265,397417,,-0.012614154,0.401606426,-0.005065925,-0.036478407,0.001330674,0.000534407,0.023117251
30-11-2022,227,228.800003,226.449997,227.300003,218.05043,167006,,0.001321599,0.401606426,0.000530763,-0.022542654,0.000508171,0.000204085,0.014285826
01-12-2022,227.649994,229.899994,225,226,216.803329,596543,,-0.005719327,0.401606426,-0.002296918,-0.02958358,0.000875188,0.000351481,0.018747832
02-12-2022,226,227.949997,225.350006,226.449997,217.235016,591071,,0.001991137,0.401606426,0.000799653,-0.021873116,0.000478433,0.000192142,0.013861524
05-12-2022,226.449997,231.800003,226.449997,231.300003,221.887665,195727,,0.021417558,0.401606426,0.008601429,-0.002446695,5.98631E-06,2.40414E-06,0.00155053
06-12-2022,231.399994,232.5,229.550003,231.699997,222.271378,320146,,0.00172933,0.401606426,0.00069451,-0.022134923,0.000489955,0.000196769,0.014027437
07-12-2022,231.699997,232.25,228.699997,229.899994,220.544617,244344,,-0.007768679,0.401606426,-0.003119952,-0.031632932,0.001000642,0.000401864,0.020046556
08-12-2022,229.050003,231.25,229.050003,230.5,221.120209,217072,,0.002609857,0.401606426,0.001048135,-0.021254396,0.000451749,0.000181425,0.013469426
09-12-2022,230.199997,232.25,227.800003,228.850006,219.537369,330410,,-0.007158325,0.401606426,-0.002874829,-0.031022578,0.0009624,0.000386506,0.01965976
12-12-2022,227.899994,233.699997,227.899994,232.399994,222.942886,556945,,0.015512291,0.401606426,0.006229836,-0.008351961,6.97553E-05,2.80142E-05,0.00529284
13-12-2022,233,234.300003,231.100006,231.550003,222.127487,276694,,-0.003657448,0.401606426,-0.001468855,-0.027521701,0.000757444,0.000304194,0.01744117
14-12-2022,231.300003,233.149994,231.300003,232,222.559174,478979,,0.001943412,0.401606426,0.000780487,-0.021920841,0.000480523,0.000192981,0.013891769
15-12-2022,232.850006,232.850006,227.75,228.25,218.961777,220130,,-0.016163793,0.401606426,-0.006491483,-0.040028046,0.001602244,0.000643472,0.025366743
16-12-2022,226.600006,229.899994,223.399994,224.600006,215.460312,441622,,-0.015991211,0.401606426,-0.006422173,-0.039855464,0.001588458,0.000637935,0.025257374
19-12-2022,225,227.899994,224.5,227.149994,217.906525,127364,,0.011353464,0.401606426,0.004559624,-0.012510789,0.00015652,6.28594E-05,0.00792839
20-12-2022,227,227.050003,223.350006,226.100006,216.899261,163702,,-0.004622443,0.401606426,-0.001856403,-0.028486696,0.000811492,0.0003259,0.01805271
21-12-2022,226.050003,227.649994,222.100006,223.699997,214.596924,252073,,-0.010614812,0.401606426,-0.004262977,-0.034479065,0.001188806,0.000477432,0.021850219
22-12-2022,222.149994,225.550003,219.100006,222.550003,213.493729,137443,,-0.005140787,0.401606426,-0.002064573,-0.02900504,0.000841292,0.000337868,0.018381197
23-12-2022,219.899994,222.899994,214.25,215.25,206.490784,241720,,-0.032801631,0.401606426,-0.013173346,-0.056665883,0.003211022,0.001289567,0.035910545
26-12-2022,215.199997,221.550003,214.199997,220.800003,211.814941,274856,,0.025783986,0.401606426,0.010355014,0.001919733,3.68538E-06,1.48007E-06,0.001216582
27-12-2022,222.699997,222.899994,219.699997,221.25,212.246628,181395,,0.00203803,0.401606426,0.000818486,-0.021826223,0.000476384,0.000191319,0.013831807
28-12-2022,220.300003,224.199997,220.300003,223.300003,214.213211,155542,,0.00926555,0.401606426,0.003721105,-0.014598703,0.000213122,8.55912E-05,0.009251552
29-12-2022,220.399994,223.149994,220.399994,221.600006,212.582382,181598,,-0.007613063,0.401606426,-0.003057455,-0.031477316,0.000990821,0.00039792,0.019947938
30-12-2022,221.800003,226.399994,221.800003,225.149994,215.987915,164190,,0.016019801,0.401606426,0.006433655,-0.007844452,6.15354E-05,2.4713E-05,0.004971219
02-01-2023,226.399994,227.149994,224.300003,224.800003,215.652161,274718,,-0.001554479,0.401606426,-0.000624289,-0.025418732,0.000646112,0.000259483,0.016108467
03-01-2023,224.949997,225.699997,223.050003,224.050003,214.932693,242064,,-0.003336299,0.401606426,-0.001339879,-0.027200552,0.00073987,0.000297137,0.017237649
04-01-2023,224.050003,224.550003,216.300003,217.100006,208.265518,299400,,-0.031019848,0.401606426,-0.01245777,-0.054884101,0.003012265,0.001209745,0.034781386
05-01-2023,218,218.899994,215.300003,218.300003,209.416672,196256,,0.005527393,0.401606426,0.002219836,-0.01833686,0.00033624,0.000135036,0.011620513
06-01-2023,219,219.899994,212,214.149994,205.435547,627077,,-0.019010577,0.401606426,-0.00763477,-0.04287483,0.001838251,0.000738253,0.027170819
09-01-2023,215,217.649994,214.100006,215,206.250961,187285,,0.003969209,0.401606426,0.00159406,-0.019895044,0.000395813,0.000158961,0.012607972
10-01-2023,215,217.199997,214.199997,216.600006,207.785858,289557,,0.007441888,0.401606426,0.00298871,-0.016422364,0.000269694,0.000108311,0.010407251
11-01-2023,216.800003,218.5,212.25,213.300003,204.620148,271980,,-0.01523547,0.401606426,-0.006118663,-0.039099723,0.001528788,0.000613971,0.024778443
12-01-2023,215,217.050003,212.800003,213.899994,205.195724,245831,,0.002812897,0.401606426,0.001129678,-0.021051356,0.00044316,0.000177976,0.013340755
13-01-2023,214.649994,215.600006,213.600006,215.050003,206.298935,311055,,0.005376386,0.401606426,0.002159191,-0.018487867,0.000341801,0.00013727,0.011716209
16-01-2023,215.199997,215.75,212.5,213.75,205.051834,453593,,-0.00604512,0.401606426,-0.002427759,-0.029909372,0.000894571,0.000359265,0.018954295
17-01-2023,213.350006,215.100006,211.25,213.050003,204.38031,967570,,-0.00327484,0.401606426,-0.001315197,-0.027139093,0.00073653,0.000295795,0.017198701
18-01-2023,213.199997,217.300003,213.199997,216.850006,208.025681,153703,,0.017836203,0.401606426,0.007163134,-0.00602805,3.63374E-05,1.45933E-05,0.003820122
19-01-2023,216.850006,224.800003,215.199997,223.899994,214.788788,1302520,,0.032510896,0.401606426,0.013056585,0.008646643,7.47644E-05,3.00259E-05,0.005479587
20-01-2023,225.550003,229.25,222.850006,226.949997,217.714676,646290,,0.013622167,0.401606426,0.00547075,-0.010242086,0.0001049,4.21286E-05,0.006490658
23-01-2023,228.5,230.399994,227.149994,230,220.640564,1222399,,0.013439097,0.401606426,0.005397228,-0.010425156,0.000108684,4.36481E-05,0.006606674
24-01-2023,231.350006,231.350006,227.100006,227.5,218.242294,150999,,-0.010869565,0.401606426,-0.004365287,-0.034733818,0.001206438,0.000484513,0.022011663
25-01-2023,227.649994,227.949997,223.899994,225.949997,216.755371,183797,,-0.0068132,0.401606426,-0.002736225,-0.030677453,0.000941106,0.000377954,0.019441046
27-01-2023,226.149994,227.5,219.350006,222.449997,213.397781,246179,,-0.015490153,0.401606426,-0.006220945,-0.039354406,0.001548769,0.000621996,0.024939841
30-01-2023,221.600006,226.699997,220.800003,225.899994,216.707397,417369,,0.01550909,0.401606426,0.00622855,-0.008355163,6.98087E-05,2.80356E-05,0.005294869
31-01-2023,225,228.300003,223.949997,224.899994,215.748093,486891,,-0.004426738,0.401606426,-0.001777806,-0.02829099,0.00080038,0.000321438,0.017928687
01-02-2023,228.800003,228.800003,214.25,220.300003,211.335281,1320874,,-0.020453495,0.401606426,-0.008214255,-0.044317748,0.001964063,0.00078878,0.028085232
02-02-2023,220.649994,221.550003,217,217.550003,208.697205,298023,,-0.012482978,0.401606426,-0.005013244,-0.03634723,0.001321121,0.000530571,0.023034121
03-02-2023,217.75,220.649994,214.600006,218.949997,210.040222,463578,,0.006435275,0.401606426,0.002584448,-0.017428978,0.000303769,0.000121996,0.011045166
06-02-2023,219,220.300003,215.75,219.600006,210.663773,380251,,0.002968755,0.401606426,0.001192271,-0.020895497,0.000436622,0.00017535,0.013241983
07-02-2023,219.100006,221.100006,217.050003,219.800003,210.855637,358731,,0.000910733,0.401606426,0.000365756,-0.02295352,0.000526864,0.000211592,0.014546202
